org_train_loss,org_train_acc,org_train_f1,train_loss,train_acc,train_f1,org_valid_loss,org_valid_acc,org_valid_f1,valid_loss,valid_acc,valid_f1,min_valid_loss
0.033271495252848,0.685729005667182,0.615450758869347,0.025538669899106,0.804597701149425,0.725796813751253,0.043793767690659,0.594125500667557,0.50894836398872,0.037965182214975,0.733333333333333,0.60976800976801,0.007541608996689
0.02291939035058,0.795981452859351,0.775928840980294,0.014237305149436,0.931034482758621,0.908539826186885,0.038740281015635,0.640854472630174,0.57425803965795,0.029111595824361,0.733333333333333,0.628083028083028,0.007541608996689
0.017490722239018,0.838227717671303,0.822715410163682,0.01062483061105,0.96551724137931,0.96942949770536,0.03529254347086,0.690253671562083,0.658719574367064,0.025953495875001,0.766666666666667,0.759340659340659,0.007541608996689
0.012469528242946,0.890777949510562,0.876246242184551,0.006303929258138,0.988505747126437,0.982133995037221,0.040077939629555,0.644859813084112,0.590141088187339,0.029437059536576,0.766666666666667,0.706593406593407,0.007541608996689
0.007911860011518,0.928902627511592,0.924861008423248,0.003350315382704,0.988505747126437,0.982133995037221,0.033362988382578,0.700934579439252,0.662884252910455,0.021564686670899,0.766666666666667,0.728881375035221,0.007541608996689
0.009478397667408,0.915507470376095,0.913872188010415,0.004465949721634,0.977011494252874,0.981353615995972,0.031063754111528,0.727636849132176,0.67497275783952,0.016552377492189,0.9,0.81785906401291,0.007541608996689
0.004853802267462,0.958784131890778,0.954159751303698,0.001624002004974,1,1,0.030461870133877,0.730307076101469,0.673465584883301,0.016437338665128,0.866666666666667,0.850493096646943,0.007541608996689
0.006733587943017,0.938176197836167,0.933445392101442,0.002668695524335,1,1,0.040326952934265,0.635514018691589,0.597392802639958,0.026885308325291,0.733333333333333,0.663313609467455,0.007541608996689
0.003719480941072,0.967027305512622,0.963311648359528,0.001094117760658,1,1,0.031892523169518,0.731642189586115,0.673586323884469,0.01709764264524,0.833333333333333,0.721555367709214,0.007541608996689
0.003252329770476,0.970118495620814,0.968947587477696,0.00081442319788,1,1,0.02601077593863,0.78237650200267,0.733108675549124,0.013437466695905,0.866666666666667,0.776833422987269,0.007541608996689
