org_train_loss,org_train_acc,org_train_f1,train_loss,train_acc,train_f1,org_valid_loss,org_valid_acc,org_valid_f1,valid_loss,valid_acc,valid_f1,,,diff_train_loss,diff_valid_loss,diff_loss,dif_orgf_valid_loss,diff_PR
0.009423224255443,0.936461636017755,0.93698804827372,0.003253555158153,0.993589743589744,0.993743890518084,0.06982658803463,0.577832888210607,0.570721857920942,0.044786207377911,0.633333333333333,0.617142857142857,,,0,0,0,0,0
0.007876344956458,0.947981399281336,0.947961420635515,0.002630139933899,0.993589743589744,0.993521421107628,0.048219710588455,0.699446776039679,0.703102797092856,0.031542472541332,0.733333333333333,0.732777777777778,,,-0.000623415224254,-0.013243734836578,0,-0.021606877446175,0
0.008873238228261,0.943901923483407,0.94445807066716,0.00314679229632,0.993589743589744,0.993743890518084,0.061837874352932,0.621041587180465,0.625243635617602,0.042792718857527,0.733333333333333,0.726666666666667,,,0.000516652362421,0.011250246316195,0,0.013618163764477,0
0.005593497306108,0.966011414077362,0.966133328081493,0.001444675261155,1,1,0.04953046143055,0.717951163677985,0.725828253784234,0.030565666034818,0.8,0.788333333333333,,,-0.001702117035165,-0.012227052822709,0,-0.012307412922382,0
0.004971544258296,0.967744662861974,0.968055675757574,0.001210071030073,1,1,0.044997826218605,0.725677222434185,0.72725061917606,0.028114868327975,0.833333333333333,0.817857142857143,,,-0.000234604231082,-0.002450797706842,0,-0.004532635211945,0
0.004774867556989,0.969393362925386,0.969519585164468,0.001150552998297,1,1,0.049311432987452,0.695726821823731,0.699842213528383,0.029708225280047,0.8,0.783571428571429,,,-5.95180317759516E-05,0.001593356952071,1,0.004313606768847,0
0.006745278835297,0.950856055802156,0.950851631976983,0.002135476330295,0.993589743589744,0.993265993265993,0.055370733141899,0.666444105303319,0.679523119632685,0.033510055392981,0.766666666666667,0.762380952380952,,,0.000984923331998,0.003801830112934,0,0.006059300154448,0
0.003197401296347,0.979813992813359,0.979887537031582,0.000535753497388,1,1,0.044177602976561,0.718904998092331,0.717427014134161,0.027065137401223,0.8,0.787380952380952,,,-0.001599722832907,-0.006444917991757,0,-0.011193130165339,0
0.00395735912025,0.974170365673219,0.974332220579822,0.000777857669163,1,1,0.04809432476759,0.71699732926364,0.711920542065687,0.030922135338187,0.766666666666667,0.755,,,0.000242104171775,0.003856997936964,0,0.003916721791029,0
0.003678379580379,0.976664552948637,0.976893283344099,0.000724932935555,1,1,0.053868141025305,0.699828309805418,0.705060812355413,0.031811937689781,0.766666666666667,0.753571428571429,,,-5.29247336089611E-05,0.000889802351594,1,0.005773816257715,0
0.0070024067536,0.950158528852251,0.949587678379922,0.002676265779883,0.993589743589744,0.993521421107628,0.052404515445232,0.680751621518504,0.692759103700906,0.031335555016995,0.833333333333333,0.82,,,0.001951332844328,-0.000476382672787,1,-0.001463625580072,0
0.004544647410512,0.970788416825195,0.970842637963018,0.001312291831709,1,1,0.057811912149191,0.662056466997329,0.663676028170541,0.037681486457586,0.733333333333333,0.727380952380952,,,-0.001363973948173,0.006345931440592,1,0.005407396703959,0
0.005049061030149,0.965144789685056,0.965236003866551,0.001643185620196,1,1,0.052695728838444,0.684948492941625,0.69064751581798,0.035367120057345,0.766666666666667,0.759444444444444,,,0.000330893788487,-0.002314366400242,1,-0.005116183310747,0
0.004958704579622,0.967744662861974,0.967665084222116,0.001488562556915,0.993589743589744,0.993521421107628,0.060199450701475,0.627623044639451,0.631027135771503,0.038452085107565,0.666666666666667,0.658492063492063,,,-0.000154623063281,0.00308496505022,1,0.007503721863031,0
0.003981626592577,0.974614246459522,0.974649410402142,0.000960924953688,1,1,0.052213359624148,0.702403662724151,0.694373961122753,0.032710019499064,0.8,0.787380952380952,,,-0.000527637603227,-0.005742065608501,0,-0.007986091077328,0
0.003161743748933,0.979708306911858,0.979786120700613,0.000636062701233,1,1,0.059617854654789,0.648798168637924,0.654361703205324,0.037812981754541,0.733333333333333,0.729444444444444,,,-0.000324862252455,0.005102962255478,1,0.007404495030642,0
0.002399378689006,0.984590995561192,0.984693486182779,0.000312976859277,1,1,0.051542140543461,0.67502861503243,0.685106225620423,0.031373016536236,0.766666666666667,0.745,,,-0.000323085841956,-0.006439965218306,0,-0.008075714111328,0
0.003014127956703,0.981209046713168,0.981372806948761,0.000440024130512,1,1,0.050679329782724,0.707268218237314,0.703138230908324,0.030865460634232,0.766666666666667,0.750714285714286,,,0.000127047271235,-0.000507555902004,1,-0.000862810760736,0
0.002926801797003,0.981800887761573,0.981940457732252,0.000477591820527,1,1,0.061070844531059,0.65747806180847,0.675804053463097,0.035241220146418,0.733333333333333,0.718809523809524,,,3.75676900148392E-05,0.004375759512186,0,0.010391514748335,0
0.002620254876092,0.983449587824984,0.983580963485771,0.000344306550687,1,1,0.052318081259728,0.69715757344525,0.698802812468903,0.031074518337846,0.766666666666667,0.750714285714286,,,-0.00013328526984,-0.004166701808572,0,-0.008752763271332,0
0.002397074596956,0.984527584020292,0.984612347701976,0.000327173125697,1,1,0.06269134581089,0.652231972529569,0.655766175510822,0.040193323045969,0.7,0.68,,,-1.71334249898791E-05,0.009118804708123,1,0.010373264551163,0
0.003923671785742,0.975628831113929,0.975543721778614,0.000851084594615,1,1,0.061672557145357,0.639832125143075,0.651229918146125,0.038683969527483,0.733333333333333,0.725,,,0.000523911468918,-0.001509353518486,1,-0.001018788665533,0
